Survey ResponseID,Q-demos-age,Q-demos-hispanic,Q-demos-race,Q-demos-education,Q-demos-income,Q-demos-gender,Q-sexual-orientation,Q-demos-state,Q-amazon-use-howmany,Q-amazon-use-hh-size,Q-amazon-use-how-oft,Q-substance-use-cigarettes,Q-substance-use-marijuana,Q-substance-use-alcohol,Q-personal-diabetes,Q-personal-wheelchair,Q-life-changes,Q-sell-YOUR-data,Q-sell-consumer-data,Q-small-biz-use,Q-census-use,Q-research-society
R_28UKFIYV8OeEOud,35 - 44 years,No,White or Caucasian,Prefer not to say,"$100,000 - $149,999",Female,LGBTQ+,Florida,2,2,Less than 5 times per month,No,No,No,No,No,Moved place of residence,No,No,Yes,No,I don't know
R_4H1P1VB5jWW4sY9,55 - 64 years,Yes,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),Florida,3,4+,5 - 10 times per month,No,No,No,Yes,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,I don't know
R_OQ2hOsg4SFQ9WSJ,55 - 64 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Female,heterosexual (straight),Washington,4+,4+,5 - 10 times per month,No,No,Yes,Yes,No,Moved place of residence,No,No,Yes,I don't know,Yes
R_RRg5d7PYVofKVR7,55 - 64 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Florida,1 (just me!),1 (just me!),5 - 10 times per month,Yes,No,I stopped in the recent past,No,No,Moved place of residence,Yes,Yes,Yes,No,No
R_bvclHP5uOzCHgFH,55 - 64 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Texas,1 (just me!),4+,Less than 5 times per month,Yes,No,No,No,No,,No,No,No,No,I don't know
R_tDGTxzG74gg2N9v,45 - 54 years,No,Black or African American,Bachelor's degree,"$50,000 - $74,999",Female,heterosexual (straight),Maryland,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,Yes,Yes
R_3jdjdovzQan3OW9,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$25,000 - $49,999",Female,heterosexual (straight),Texas,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,,No,No,I don't know,No,Yes
R_3PNNUrowNtmDaYu,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","Less than $25,000",Male,heterosexual (straight),New Jersey,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,No
R_2QlfFCEdKYPO953,25 - 34 years,No,Black or African American,Bachelor's degree,"$150,000 or more",Female,heterosexual (straight),Florida,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_2ygdFv2BO8JcFgT,25 - 34 years,No,Black or African American,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),South Carolina,1 (just me!),4+,5 - 10 times per month,No,No,Yes,No,No,Moved place of residence,No,No,No,No,No
R_29sSdZhPXE2rY6T,25 - 34 years,Yes,White or Caucasian,Prefer not to say,"$25,000 - $49,999",Female,LGBTQ+,Texas,1 (just me!),4+,Less than 5 times per month,Yes,Prefer not to say,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_phoOTxhiHcWo7lL,45 - 54 years,No,Black or African American,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Texas,2,3,5 - 10 times per month,No,No,No,Yes,No,,No,No,No,No,No
R_3dXndudJQLQ2S3A,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),Ohio,1 (just me!),4+,5 - 10 times per month,Yes,No,No,Yes,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,No,Yes
R_3Gf7YI2H2CvFjQS,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Arizona,2,3,Less than 5 times per month,No,No,No,No,No,,No,No,No,No,Yes
R_1gtqdYl8h8iwCOU,25 - 34 years,Yes,Other,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),New York,1 (just me!),1 (just me!),Less than 5 times per month,I stopped in the recent past,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_2sdyE1uJjHZElM1,35 - 44 years,No,Asian,Bachelor's degree,"$150,000 or more",Female,heterosexual (straight),California,2,4+,5 - 10 times per month,No,No,Yes,No,No,,No,No,No,No,No
R_2Etbay1rgJ6LZQO,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,LGBTQ+,California,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,,No,No,No,I don't know,I don't know
R_3nj9YnMVuMuQpRk,18 - 24 years,No,Asian,Bachelor's degree,"$150,000 or more",Male,heterosexual (straight),Massachusetts,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,Yes,Yes
R_23f82WqsqmRxv81,25 - 34 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Male,heterosexual (straight),Michigan,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,,Yes if I get part of the profit,No,No,No,No
R_3oXeN7LsUxJ1Jco,25 - 34 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Male,heterosexual (straight),Arkansas,1 (just me!),4+,Less than 5 times per month,No,No,No,Yes,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,I don't know
R_3eXwU5h5L53HBTz,18 - 24 years,No,Asian,Bachelor's degree,"$50,000 - $74,999",Male,heterosexual (straight),California,1 (just me!),1 (just me!),Less than 5 times per month,No,No,Yes,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,I don't know
R_3hnJMNKiTFDsnVr,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Female,heterosexual (straight),Georgia,1 (just me!),4+,5 - 10 times per month,No,No,Yes,No,No,"Lost a job ,Became pregnant,Had a child",Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,I don't know
R_vGepqaXT4rSfuRH,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Female,LGBTQ+,Minnesota,2,2,5 - 10 times per month,No,No,No,No,No,,No,No,No,Yes,Yes
R_2cuOE8Vi57bFRM8,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),Michigan,2,4+,More than 10 times per month,No,No,No,No,No,,I don't know,I don't know,I don't know,I don't know,I don't know
R_T0dG5GjDneWRmUx,55 - 64 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),Washington,2,2,5 - 10 times per month,No,No,No,No,No,,I don't know,No,I don't know,I don't know,Yes
R_1IlWpd2jLOlqA4H,18 - 24 years,No,Black or African American,Bachelor's degree,"Less than $25,000",Female,heterosexual (straight),California,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,No,No,No,No,Yes
R_1l9N0JIJWZwxHSz,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),North Carolina,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,Lost a job ,Yes if I get part of the profit,No,I don't know,I don't know,Yes
R_2SD0ezsMpLxCClb,18 - 24 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Wisconsin,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,No,No,No,No,Yes
R_2e8OXP3JydqCcm8,35 - 44 years,Yes,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Female,LGBTQ+,Oregon,2,2,Less than 5 times per month,No,Yes,Yes,No,No,,No,No,I don't know,I don't know,I don't know
R_To1AwJ2KphjS9Il,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Male,heterosexual (straight),Washington,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,,No,No,Yes,No,Yes
R_2sSf7h0d1GXhEcA,45 - 54 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Male,heterosexual (straight),Georgia,2,3,More than 10 times per month,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes
R_3GBS8tWaQz8xHPl,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),Washington,2,2,5 - 10 times per month,No,Yes,Yes,No,No,,No,No,No,No,Yes
R_1LIGtABfsfoV9eO,18 - 24 years,Yes,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),California,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,No,No,No,No
R_bIXnQr8Fm57EAGR,25 - 34 years,Yes,Other,Prefer not to say,"$25,000 - $49,999",Male,heterosexual (straight),Iowa,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,No,I don't know
R_z6D1T2MULlDlLAB,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Male,heterosexual (straight),Indiana,1 (just me!),2,Less than 5 times per month,Yes,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes
R_O70YEa9HWAo6yBP,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,North Carolina,2,2,Less than 5 times per month,No,No,No,No,No,Moved place of residence,No,No,No,No,Yes
R_1Nk57CWNWLZRoiL,55 - 64 years,No,Black or African American,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Texas,1 (just me!),4+,Less than 5 times per month,Yes,Yes,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes
R_1eQ310Uea5DrogF,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),South Dakota,1 (just me!),3,Less than 5 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes
R_7U8XoGp9dZJoxIB,25 - 34 years,No,Asian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Male,heterosexual (straight),Florida,1 (just me!),1 (just me!),Less than 5 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes
R_3I5nChwlGKbzV2A,55 - 64 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Minnesota,1 (just me!),1 (just me!),5 - 10 times per month,No,No,No,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes
R_25Abb3LR9hZH8jU,35 - 44 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Male,heterosexual (straight),Texas,2,2,Less than 5 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,Yes,Yes
R_3ozJ1nZkdvnHKF5,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Male,heterosexual (straight),Illinois,1 (just me!),1 (just me!),5 - 10 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,No
R_3kAKNNSrZk6Lyna,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Male,heterosexual (straight),North Carolina,2,3,5 - 10 times per month,Yes,Yes,Yes,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes
R_SGKBwA3GI43FYlj,35 - 44 years,Yes,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Male,heterosexual (straight),New York,2,4+,Less than 5 times per month,No,Yes,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,No
R_3oHHllow10IADbd,18 - 24 years,No,"White or Caucasian,American Indian/Native American or Alaska Native",Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),Oregon,2,2,Less than 5 times per month,No,No,I stopped in the recent past,No,No,Moved place of residence,No,No,Yes,No,I don't know
R_3KUPxp6T7nvXjXB,35 - 44 years,Yes,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,LGBTQ+,Maryland,2,3,Less than 5 times per month,No,Yes,Yes,No,No,,No,No,I don't know,No,Yes
R_3G8JXKKyXNCmXUc,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Illinois,1 (just me!),3,Less than 5 times per month,I stopped in the recent past,Yes,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes
R_2TXA2hvlVB8PZfO,25 - 34 years,No,Black or African American,Bachelor's degree,"$50,000 - $74,999",Male,heterosexual (straight),California,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,Lost a job ,Yes,Yes,Yes,Yes,Yes
R_3mlroE78njuHGCJ,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,Texas,1 (just me!),1 (just me!),Less than 5 times per month,No,No,Yes,No,No,,Yes,Yes,No,No,Yes
R_3qWelyoPjmQzdkZ,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$150,000 or more",Female,heterosexual (straight),New Jersey,1 (just me!),4+,5 - 10 times per month,No,No,No,No,No,,Yes if I get part of the profit,I don't know,I don't know,I don't know,Yes
R_2YgMqdVXQ7ap4v8,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),Texas,2,4+,5 - 10 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_32XC8AoellfuKcc,45 - 54 years,Yes,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Female,heterosexual (straight),Florida,4+,4+,More than 10 times per month,No,Yes,Yes,No,No,Moved place of residence,No,No,No,No,I don't know
R_1pLs697IiOAJCa7,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,LGBTQ+,Pennsylvania,3,4+,5 - 10 times per month,No,No,Yes,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes
R_1pDUHsNfwFbm6xw,35 - 44 years,Yes,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Male,heterosexual (straight),Pennsylvania,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_1pDWbdAWjte1JTJ,18 - 24 years,Yes,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),Florida,1 (just me!),4+,5 - 10 times per month,No,No,No,Yes,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,I don't know,Yes
R_1JEoAUQUClB8E1Q,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,LGBTQ+,Tennessee,3,3,5 - 10 times per month,No,Yes,Yes,Yes,No,,No,No,I don't know,No,Yes
R_1exXWjxYQMfIn3X,18 - 24 years,Yes,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Florida,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes
R_8ozmLYNKXtl9v7H,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Alabama,1 (just me!),4+,Less than 5 times per month,Yes,No,No,No,No,,I don't know,I don't know,No,No,I don't know
R_3e3vKUJ4QzoFSAu,18 - 24 years,No,Asian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),New Jersey,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,No,No,Yes,No,Yes
R_3eg0me5m4O8d4An,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Female,heterosexual (straight),Virginia,1 (just me!),4+,Less than 5 times per month,Yes,No,No,Yes,No,,No,No,Yes,No,Yes
R_2YPn3BGBQEYnIRt,25 - 34 years,No,White or Caucasian,Bachelor's degree,"Less than $25,000",Female,LGBTQ+,Michigan,1 (just me!),1 (just me!),5 - 10 times per month,Yes,Yes,Yes,No,No,Moved place of residence,No,No,Yes,I don't know,No
R_1CjrqlIqihbkYgk,18 - 24 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,LGBTQ+,Florida,1 (just me!),3,Less than 5 times per month,Yes,Yes,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,Yes,Yes
R_OJtQZQpl9WrkqLD,55 - 64 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Male,heterosexual (straight),California,1 (just me!),1 (just me!),Less than 5 times per month,No,Yes,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes
R_1LcHRNTQP5Ht1tg,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$75,000 - $99,999",Male,heterosexual (straight),Illinois,1 (just me!),2,5 - 10 times per month,Yes,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,I don't know,Yes
R_2YijCafrDkRdx8U,35 - 44 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Female,heterosexual (straight),Pennsylvania,2,2,5 - 10 times per month,No,No,Yes,No,No,,No,No,I don't know,I don't know,I don't know
R_1DGSlefke200soD,25 - 34 years,No,Black or African American,Bachelor's degree,"$50,000 - $74,999",Female,LGBTQ+,Georgia,3,1 (just me!),More than 10 times per month,No,No,No,No,No,Moved place of residence,Yes if I get part of the profit,Yes if consumers get part of the profit,No,Yes,Yes
R_2AWPIO2mAHQfarO,35 - 44 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Male,heterosexual (straight),New Jersey,1 (just me!),2,More than 10 times per month,No,No,No,No,No,"Lost a job ,Moved place of residence",Yes if I get part of the profit,Yes if consumers get part of the profit,No,Yes,Yes
R_3RlPEZTmXzHZR6d,18 - 24 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Female,LGBTQ+,Illinois,1 (just me!),2,Less than 5 times per month,No,Yes,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes
R_1LwfsLJ5DG4OwEO,45 - 54 years,No,Black or African American,High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Ohio,1 (just me!),1 (just me!),Less than 5 times per month,No,No,No,Yes,No,,No,I don't know,No,No,I don't know
R_3oU7dMzJxGB3f5O,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Louisiana,1 (just me!),2,Less than 5 times per month,No,No,Yes,Yes,No,Lost a job ,Yes,Yes,No,Yes,Yes
R_3HhqYe5EEdoWMYK,25 - 34 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$100,000 - $149,999",Female,heterosexual (straight),Oklahoma,2,4+,5 - 10 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,No,I don't know,No,No
R_2wmLFQjrvMKTYQX,25 - 34 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Prefer not to say,LGBTQ+,Oklahoma,1 (just me!),1 (just me!),Less than 5 times per month,No,Yes,No,No,Yes,Lost a job ,No,No,No,No,Yes
R_2cpVeiPz8GKOxkm,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Kentucky,2,2,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,I don't know,Yes,Yes
R_3mk0PlxA2dtMU76,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Pennsylvania,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,Yes,Yes
R_3pnIBXBzl395hK3,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Male,heterosexual (straight),Georgia,1 (just me!),2,More than 10 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,No,No,No,Yes
R_1pWJvtYt20XIeSA,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,LGBTQ+,Tennessee,2,4+,Less than 5 times per month,Yes,Yes,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,I don't know
R_1LUaD6cuon5njXD,25 - 34 years,No,"White or Caucasian,Asian",High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Nevada,1 (just me!),1 (just me!),Less than 5 times per month,No,Yes,No,Yes,Yes,,No,No,Yes,I don't know,Yes
R_vPQ66r0vYki20XD,18 - 24 years,No,"White or Caucasian,Other",High school diploma or GED,"$25,000 - $49,999",Female,heterosexual (straight),Nevada,1 (just me!),3,5 - 10 times per month,No,Yes,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,I don't know
R_2yk35dfVrxtTCuf,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Male,heterosexual (straight),Texas,1 (just me!),1 (just me!),Less than 5 times per month,Yes,Yes,Yes,No,No,"Lost a job ,Moved place of residence",Yes if I get part of the profit,Yes if consumers get part of the profit,No,I don't know,Yes
R_12EeuI1AdMnuvET,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),California,1 (just me!),3,5 - 10 times per month,No,No,No,No,No,"Divorce,Moved place of residence",Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes
R_3phESUXircSC3Za,25 - 34 years,No,Asian,Bachelor's degree,"Less than $25,000",Female,heterosexual (straight),California,1 (just me!),4+,Less than 5 times per month,Yes,Yes,No,No,No,Lost a job ,Yes if I get part of the profit,Yes if consumers get part of the profit,No,I don't know,Yes
R_3sb0qz9iYlTBuJk,25 - 34 years,No,Asian,Bachelor's degree,"$100,000 - $149,999",Male,LGBTQ+,Oregon,1 (just me!),4+,Less than 5 times per month,No,No,No,No,No,,No,No,No,Yes,Yes
R_XNE9peoiyTnAXUl,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$100,000 - $149,999",Male,heterosexual (straight),New York,3,3,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,I don't know,I don't know,I don't know,I don't know
R_CdkexeCTNy6chYR,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,LGBTQ+,Arizona,2,4+,5 - 10 times per month,No,Yes,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,I don't know,Yes
R_3Jq0a5Bn6y6pYKy,55 - 64 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$150,000 or more",Female,heterosexual (straight),New Jersey,3,4+,5 - 10 times per month,No,No,Yes,No,No,Moved place of residence,No,Yes if consumers get part of the profit,I don't know,No,Yes
R_qWtvZqcqKDFEeul,18 - 24 years,No,White or Caucasian,High school diploma or GED,"Less than $25,000",Male,LGBTQ+,Missouri,2,4+,Less than 5 times per month,No,Prefer not to say,No,No,No,,No,Yes if consumers get part of the profit,I don't know,I don't know,Yes
R_2UckkA7ZpK0f7lT,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,LGBTQ+,Alabama,1 (just me!),3,Less than 5 times per month,Yes,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes
R_C2cxEkvsW2SCiIx,18 - 24 years,No,Asian,Bachelor's degree,"$50,000 - $74,999",Male,heterosexual (straight),California,2,1 (just me!),5 - 10 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,Yes,Yes
R_3O2Hrt1JCQeiPEN,35 - 44 years,No,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Male,heterosexual (straight),California,3,3,More than 10 times per month,No,Yes,No,No,No,Moved place of residence,I don't know,Yes,Yes,I don't know,Yes
R_1gRWk2lFzQuy1iG,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Female,LGBTQ+,Massachusetts,2,4+,Less than 5 times per month,Yes,Yes,No,No,No,Lost a job ,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes
R_3qOlx6wlMHIqNz6,35 - 44 years,Yes,White or Caucasian,High school diploma or GED,"$50,000 - $74,999",Female,heterosexual (straight),New Jersey,2,1 (just me!),More than 10 times per month,Yes,No,Yes,No,No,,No,No,No,No,No
R_3Krt2nhd2oxJXSf,25 - 34 years,No,White or Caucasian,Bachelor's degree,"$50,000 - $74,999",Male,heterosexual (straight),Illinois,1 (just me!),2,Less than 5 times per month,No,No,No,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes
R_1Oq3DG0zY5vXXn7,45 - 54 years,No,White or Caucasian,Bachelor's degree,"$25,000 - $49,999",Female,heterosexual (straight),Nebraska,1 (just me!),2,Less than 5 times per month,No,No,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,No,Yes
R_4MDPHLoOHFEre49,45 - 54 years,No,White or Caucasian,"Graduate or professional degree (MA, MS, MBA, PhD, JD, MD, DDS, etc)","$50,000 - $74,999",Female,heterosexual (straight),Alabama,1 (just me!),2,5 - 10 times per month,No,No,No,Yes,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,No,Yes
R_28A3bViTfrJjMFz,45 - 54 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Michigan,1 (just me!),3,More than 10 times per month,No,Yes,No,No,No,Lost a job ,Yes if I get part of the profit,Yes if consumers get part of the profit,No,I don't know,I don't know
R_PYQtkvvNdK6wGyZ,25 - 34 years,No,White or Caucasian,High school diploma or GED,"$25,000 - $49,999",Male,heterosexual (straight),Washington,1 (just me!),1 (just me!),Less than 5 times per month,Yes,Yes,Yes,No,No,,No,No,No,No,No
R_30f0gTKJr78YCy4,25 - 34 years,Yes,White or Caucasian,Bachelor's degree,"Less than $25,000",Female,heterosexual (straight),Hawaii,1 (just me!),4+,5 - 10 times per month,No,No,No,No,No,Became pregnant,Yes if I get part of the profit,No,Yes,I don't know,Yes
R_3kA4mCLxijsl1ir,45 - 54 years,Yes,White or Caucasian,Bachelor's degree,"$100,000 - $149,999",Male,heterosexual (straight),California,2,4+,Less than 5 times per month,No,No,No,Yes,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,No,Yes,Yes
R_3CIrjNnjZFOVvWu,18 - 24 years,No,White or Caucasian,Some high school or less,"$100,000 - $149,999",Female,heterosexual (straight),Pennsylvania,1 (just me!),4+,Less than 5 times per month,Yes,Yes,Yes,No,No,,Yes if I get part of the profit,Yes if consumers get part of the profit,Yes,I don't know,Yes
R_1IaO9kPXlVlBWD9,35 - 44 years,No,White or Caucasian,High school diploma or GED,"$75,000 - $99,999",Male,heterosexual (straight),Maryland,1 (just me!),3,Less than 5 times per month,No,No,No,No,No,,No,No,Yes,I don't know,Yes
